2025-12-24 00:01:44.fff | === LOG CLEARED ===
2025-12-24 00:01:49.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:01:49.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+l fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+l fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+l fired (spaceMode: 1)
2025-12-24 00:01:50.fff | space+l fired (spaceMode: 1)
2025-12-24 00:01:51.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:01:51.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:01:51.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:01:51.fff | space:: fired (tap detected)
2025-12-24 00:01:51.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:01:55.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:01:55.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:55.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:55.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:55.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:56.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:56.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:56.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:56.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:56.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:01:56.fff | Timer: RELEASE confirmed after 78ms - deactivating space mode
2025-12-24 00:01:56.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:01:56.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:57.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:57.fff | space+h fired (spaceMode: 1)
2025-12-24 00:01:58.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:01:58.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:01:58.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:01:58.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:01:58.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:01:59.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:04.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:02:04.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:02:04.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:04.fff | space:: fired (tap detected)
2025-12-24 00:02:05.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:02:09.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:09.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:02:09.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:02:11.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:11.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:02:11.fff | Timer: RELEASE confirmed after 62ms - deactivating space mode
2025-12-24 00:02:12.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:12.fff | space:: fired (tap detected)
2025-12-24 00:02:12.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:02:21.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:21.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:21.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:21.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:22.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:23.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:02:23.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:02:26.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:26.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:27.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:28.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:28.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:28.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:28.fff | space+k fired (spaceMode: 1)
2025-12-24 00:02:29.fff | Timer: RELEASE detected - starting 60ms debounce
2025-12-24 00:02:29.fff | Timer: RELEASE confirmed after 63ms - deactivating space mode
2025-12-24 00:02:40.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:40.fff | space:: fired (tap detected)
2025-12-24 00:02:40.fff | space up:: fired (spaceMode: 1, KeyState: 0)
2025-12-24 00:02:40.fff | Timer: PRESS detected - activating space mode
2025-12-24 00:02:40.fff | space+h fired (spaceMode: 1)
2025-12-24 00:02:41.fff | space+h fired (spaceMode: 1)
2025-12-24 00:02:41.fff | space+h fired (spaceMode: 1)
2025-12-24 00:02:41.fff | space+h fired (spaceMode: 1)
